unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1514764740,2017-12-31 23:59:00,BTC/USD,13913.28,13913.28,13867.18,13880.00,0.59174759,8213.4565492
1514764680,2017-12-31 23:58:00,BTC/USD,13913.26,13953.83,13884.69,13953.77,1.39878396,19518.3096575292
1514764620,2017-12-31 23:57:00,BTC/USD,13908.73,13913.26,13874.99,13913.26,0.77501206,10782.9442939156
1514764560,2017-12-31 23:56:00,BTC/USD,13827.00,13908.69,13827.00,13859.58,0.66645895,9236.841134241
1514764500,2017-12-31 23:55:00,BTC/USD,13825.05,13825.05,13825.05,13825.05,0.06550140,905.56013007
1514764440,2017-12-31 23:54:00,BTC/USD,13884.14,13884.14,13823.88,13854.28,4.81070190,66648.811119132
1514764380,2017-12-31 23:53:00,BTC/USD,13854.52,13898.70,13840.85,13884.15,10.46953115,145360.5409162725
1514764320,2017-12-31 23:52:00,BTC/USD,13885.00,13898.32,13823.19,13883.13,7.15371462,99315.9500523606
1514764260,2017-12-31 23:51:00,BTC/USD,13892.57,13927.21,13885.00,13885.00,0.59592826,8274.4638901
1514764200,2017-12-31 23:50:00,BTC/USD,13927.34,13927.34,13892.57,13927.28,0.56549430,7875.797454504001
1514764140,2017-12-31 23:49:00,BTC/USD,13942.30,13942.30,13927.34,13927.34,3.16353009,44059.559163660604
1514764080,2017-12-31 23:48:00,BTC/USD,13941.44,13957.01,13941.40,13942.35,6.05440980,84412.70047503001
1514764020,2017-12-31 23:47:00,BTC/USD,13941.61,13941.61,13941.61,13941.61,0.00086921,12.1181868281
1514763960,2017-12-31 23:46:00,BTC/USD,13929.96,13950.00,13889.01,13889.01,1.76423415,24503.4657516915
1514763900,2017-12-31 23:45:00,BTC/USD,13888.01,13929.96,13888.01,13929.96,0.37970996,5289.344554401599
1514763840,2017-12-31 23:44:00,BTC/USD,13930.00,13959.41,13888.03,13890.95,7.71544716,107174.890727202
1514763780,2017-12-31 23:43:00,BTC/USD,13930.00,13959.65,13930.00,13930.00,6.24435793,86983.9059649
1514763720,2017-12-31 23:42:00,BTC/USD,13957.74,13973.69,13930.00,13959.87,4.46669676,62354.5060990212
1514763660,2017-12-31 23:41:00,BTC/USD,13990.00,13990.00,13989.80,13989.80,1.38333489,19352.578444122
1514763600,2017-12-31 23:40:00,BTC/USD,13979.17,13979.17,13957.53,13957.61,1.99641353,27865.161450463303
1514763540,2017-12-31 23:39:00,BTC/USD,13932.16,13999.98,13932.16,13957.50,3.05460674,42634.673573550004
1514763480,2017-12-31 23:38:00,BTC/USD,13931.60,13999.81,13931.60,13999.81,4.16167636,58262.67832149161
1514763420,2017-12-31 23:37:00,BTC/USD,13999.91,13999.91,13963.22,13987.68,0.58756542,8218.6770740256
1514763360,2017-12-31 23:36:00,BTC/USD,13980.80,13980.80,13963.21,13963.89,1.82519073,25486.7625827397
1514763300,2017-12-31 23:35:00,BTC/USD,13957.19,13993.92,13930.00,13988.34,15.43569093,215919.6928637562
1514763240,2017-12-31 23:34:00,BTC/USD,13957.19,13957.19,13957.19,13957.19,1.28062114,17873.8725689966
1514763180,2017-12-31 23:33:00,BTC/USD,13970.07,13970.07,13931.34,13957.10,0.30973213,4322.9623116230005
1514763120,2017-12-31 23:32:00,BTC/USD,13950.06,13960.00,13945.21,13960.00,14.11937737,197106.5080852
1514763060,2017-12-31 23:31:00,BTC/USD,13930.00,13951.59,13930.00,13951.59,4.37677155,61062.9221892645
1514763000,2017-12-31 23:30:00,BTC/USD,13950.00,13950.00,13930.00,13930.00,1.68332767,23448.7544431
1514762940,2017-12-31 23:29:00,BTC/USD,13930.01,13950.00,13930.00,13930.01,3.13854016,43719.8958142016
1514762880,2017-12-31 23:28:00,BTC/USD,13938.00,13950.00,13930.00,13950.00,11.80267436,164647.30732199998
1514762820,2017-12-31 23:27:00,BTC/USD,13930.00,13938.00,13930.00,13930.00,9.56924517,133299.5852181
1514762760,2017-12-31 23:26:00,BTC/USD,13937.66,13937.66,13930.00,13930.00,8.98277324,125130.0312332
1514762700,2017-12-31 23:25:00,BTC/USD,13923.30,13937.64,13923.30,13930.00,24.21346521,337293.5703753
1514762640,2017-12-31 23:24:00,BTC/USD,13888.05,13923.63,13888.00,13888.00,1.97677189,27453.40800832
1514762580,2017-12-31 23:23:00,BTC/USD,13872.54,13935.92,13872.54,13888.04,0.49730914,6906.6492286856
1514762520,2017-12-31 23:22:00,BTC/USD,13878.92,13936.49,13872.44,13936.28,2.38772073,33275.9446550844
1514762460,2017-12-31 23:21:00,BTC/USD,13866.91,13878.92,13866.00,13866.00,0.22633225,3138.3229785000003
1514762400,2017-12-31 23:20:00,BTC/USD,13823.22,13828.08,13823.22,13828.08,0.93093293,12873.0150306744
1514762340,2017-12-31 23:19:00,BTC/USD,13823.22,13823.22,13807.86,13807.86,2.61908037,36163.8950777082
1514762280,2017-12-31 23:18:00,BTC/USD,13880.78,13880.78,13817.09,13823.22,1.57451257,21764.8336478754
1514762220,2017-12-31 23:17:00,BTC/USD,13836.32,13895.61,13826.31,13895.61,0.41521300,5769.63791493
1514762160,2017-12-31 23:16:00,BTC/USD,13877.75,13877.75,13836.28,13836.28,0.77722614,10753.918496359202
1514762100,2017-12-31 23:15:00,BTC/USD,13937.63,13937.63,13877.10,13880.82,0.25961878,3603.7215537996
1514762040,2017-12-31 23:14:00,BTC/USD,13937.65,13937.66,13877.58,13937.64,1.31163589,18281.1088458996
1514761980,2017-12-31 23:13:00,BTC/USD,13937.65,13937.65,13937.60,13937.65,0.36610323,5102.6186836095
1514761920,2017-12-31 23:12:00,BTC/USD,13893.92,13937.66,13877.10,13937.61,4.09112350,57020.48380483501
1514761860,2017-12-31 23:11:00,BTC/USD,13893.23,13937.66,13893.22,13893.95,6.00214163,83393.4557001385
1514761800,2017-12-31 23:10:00,BTC/USD,13909.99,13937.66,13893.17,13937.66,14.91719399,207910.7779866634
1514761740,2017-12-31 23:09:00,BTC/USD,13914.97,13914.98,13909.99,13909.99,1.22785876,17079.503073012398
1514761680,2017-12-31 23:08:00,BTC/USD,13862.92,13915.00,13862.92,13915.00,0.39035599,5431.803600849999
1514761620,2017-12-31 23:07:00,BTC/USD,13920.00,13920.00,13872.49,13872.54,1.10494376,15328.376508350402
1514761560,2017-12-31 23:06:00,BTC/USD,13920.00,13920.00,13872.91,13872.91,1.15937392,16083.890048507199
1514761500,2017-12-31 23:05:00,BTC/USD,13907.59,13925.00,13900.00,13925.00,1.60116872,22296.274426
1514761440,2017-12-31 23:04:00,BTC/USD,13905.88,13907.59,13900.00,13907.59,8.17723820,113725.676217938
1514761380,2017-12-31 23:03:00,BTC/USD,13920.00,13925.00,13902.06,13905.88,4.65854930,64781.22753988399
1514761320,2017-12-31 23:02:00,BTC/USD,13900.09,13923.98,13900.09,13923.98,0.59079165,8226.171118766999
1514761260,2017-12-31 23:01:00,BTC/USD,13924.98,13924.98,13924.98,13924.98,0.36268539,5050.3868020422
1514761200,2017-12-31 23:00:00,BTC/USD,13925.00,13925.00,13925.00,13925.00,0.80974000,11275.629500000001
