unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1514764740,2017-12-31 23:59:00,BTC/USD,13913.28,13913.28,13867.18,13880.00,0.59174759,8213.4565492
1514761140,2017-12-31 22:59:00,BTC/USD,13920.00,13938.44,13867.49,13937.95,1.13767384,15856.841098228
1514757540,2017-12-31 21:59:00,BTC/USD,14027.45,14027.49,13977.47,13977.47,4.31181871,60268.316664463695
1514753940,2017-12-31 20:59:00,BTC/USD,14140.32,14176.42,14111.22,14111.28,1.62713119,22960.9038188232
1514750340,2017-12-31 19:59:00,BTC/USD,13949.58,13958.80,13920.03,13949.61,0.16368894,2283.3968743134
1514746740,2017-12-31 18:59:00,BTC/USD,13811.01,13844.00,13808.19,13808.19,1.22067185,16855.2688324515
1514743140,2017-12-31 17:59:00,BTC/USD,13988.29,13988.29,13921.02,13987.64,2.49888212,34953.4634969968
1514739540,2017-12-31 16:59:00,BTC/USD,14059.96,14059.96,13970.00,14036.58,49.45002681,694109.2573207098
1514735940,2017-12-31 15:59:00,BTC/USD,13380.16,13399.99,13301.75,13301.75,1.37002224,18223.69333092
1514732340,2017-12-31 14:59:00,BTC/USD,13340.18,13375.00,13340.18,13375.00,1.16661970,15603.5384875
1514728740,2017-12-31 13:59:00,BTC/USD,13074.33,13098.00,13046.51,13060.06,3.16095890,41282.312891534
1514725140,2017-12-31 12:59:00,BTC/USD,13108.87,13108.87,13099.99,13100.00,6.59543808,86400.23884800001
1514721540,2017-12-31 11:59:00,BTC/USD,13091.69,13122.26,13091.69,13100.00,14.95942249,195968.434619
1514717940,2017-12-31 10:59:00,BTC/USD,12950.00,12969.99,12941.92,12969.99,87.61825405,1136407.8788459594
1514714340,2017-12-31 09:59:00,BTC/USD,12671.62,12671.62,12645.90,12655.51,1.78803631,22628.511401568103
1514710740,2017-12-31 08:59:00,BTC/USD,12716.32,12779.63,12670.00,12713.42,13.19482831,167751.3941329202
1514707140,2017-12-31 07:59:00,BTC/USD,13048.87,13087.88,13032.92,13087.76,2.87913666,37681.4496132816
1514703540,2017-12-31 06:59:00,BTC/USD,12710.00,12739.22,12679.49,12688.88,2.41782868,30679.537981078396
1514699940,2017-12-31 05:59:00,BTC/USD,12853.03,12853.03,12807.03,12808.00,0.59354396,7602.1110396799995
1514696340,2017-12-31 04:59:00,BTC/USD,13020.39,13041.71,12962.39,12962.83,2.77496494,35971.3987731802
1514692740,2017-12-31 03:59:00,BTC/USD,13090.00,13099.00,13053.36,13069.95,5.61948351,73446.36850152451
1514689140,2017-12-31 02:59:00,BTC/USD,13322.91,13340.28,13296.27,13340.28,3.33959404,44551.119579931204
1514685540,2017-12-31 01:59:00,BTC/USD,13183.66,13183.76,13112.47,13143.70,3.93659080,51741.36849796
1514681940,2017-12-31 00:59:00,BTC/USD,13065.41,13115.42,13050.02,13066.07,32.92472698,430196.78745156864
1514678340,2017-12-30 23:59:00,BTC/USD,12639.88,12652.44,12614.10,12640.00,10.73200949,135652.5999536
1514674740,2017-12-30 22:59:00,BTC/USD,12978.60,12999.93,12861.33,12891.93,14.67065798,189133.0957321014
1514671140,2017-12-30 21:59:00,BTC/USD,13025.37,13050.00,12978.15,13039.99,5.80829383,75740.0934602617
